operation	labels	start	end	instance	machine_type	zone	preempt_time
operations/EK7cm9bzKxji1L3p0fHosGkgxLmnm9UfKg9wcm9kdWN0aW9uUXVldWU	cromwell-cb331fdf-6f98-4250-ba8e-24c2125fea32,bam-sort-coord-sambamba-task	2017-10-20T17:14:01Z	2017-10-20T19:00:18Z	ggp-7593530273198729826	n1-standard-8	us-central1-b	
operations/EMzhj9PzKxiqiMzSz4LdgKsBIMS5p5vVHyoPcHJvZHVjdGlvblF1ZXVl	cromwell-2d2ed057-f16c-4787-a0a2-c9bfee567fe0,bam-sort-coord-sambamba-task	2017-10-20T15:25:53Z	2017-10-20T20:56:34Z	ggp-12322257688910300202	n1-standard-2	us-central1-b	
operations/EK_SrcLzKxjc1vuL26TYjR8gxLmnm9UfKg9wcm9kdWN0aW9uUXVldWU	cromwell-3e24cad9-10e6-4cf7-a409-3304f5c6f147,bam-sort-coord-task	2017-10-20T05:39:51Z	2017-10-20T16:45:20Z	ggp-2241492054066522972	n1-standard-2	us-central1-b	
operations/EKiq7r7zKxjm97eErIP4tAggxLmnm9UfKg9wcm9kdWN0aW9uUXVldWU	cromwell-455bccd1-558c-4990-ac3e-d70b6825957b,bam-sort-qname-task	2017-10-20T03:37:42Z	2017-10-20T06:17:52Z	ggp-606262030362344422	n1-standard-8	us-central1-f	
operations/ELOu0b7zKxjs3M3TlO6o-akBIMS5p5vVHyoPcHJvZHVjdGlvblF1ZXVl	cromwell-9ef53faf-68b4-47d3-8053-bbc095fc7fb3,bam-sort-qname-task	2017-10-20T03:29:48Z	2017-10-20T04:35:13Z	ggp-12246030043749510764	n1-standard-8	us-central1-f	
operations/EJeM07zzKxjE5NO5xOuNinUgxLmnm9UfKg9wcm9kdWN0aW9uUXVldWU	cromwell-9ef53faf-68b4-47d3-8053-bbc095fc7fb3,bam-sort-qname-task	2017-10-20T02:20:21Z	2017-10-20T03:25:47Z	ggp-8436428871442952772	n1-standard-8	us-central1-f	2017-10-19T20:13:39.243-07:00
operations/EM_lwLzzKxiat8XwtfSHyvQBIMS5p5vVHyoPcHJvZHVjdGlvblF1ZXVl	cromwell-05eb1dea-070c-477a-8701-5eb710baa9d0,bam-sort-coord-task	2017-10-20T02:15:22Z	2017-10-20T02:17:01Z	ggp-17623746028325919642	n1-standard-8	us-central1-f	
operations/ENLWnrvzKxi32-e54-SY_RogxLmnm9UfKg9wcm9kdWN0aW9uUXVldWU	cromwell-81c0344f-e2bc-4e8d-894d-9e1142ef3b71,bam-sort-coord-task	2017-10-20T01:31:06Z	2017-10-20T03:36:13Z	ggp-1943975204950240695	n1-standard-4	us-central1-c	
operations/EP3dh7vzKxiYibP8uZTn0HYgxLmnm9UfKg9wcm9kdWN0aW9uUXVldWU	cromwell-81c0344f-e2bc-4e8d-894d-9e1142ef3b71,bam-sort-coord-task	2017-10-20T01:24:51Z	2017-10-20T01:30:16Z	ggp-8548285794296317080	n1-standard-4	us-central1-c	2017-10-19T18:29:40.727-07:00
operations/EJrAjLLzKxjQvtem6c-K3lAgxLmnm9UfKg9wcm9kdWN0aW9uUXVldWU	cromwell-f99feea2-594b-4a5f-bf09-cc007b293adb,bam-sort-coord	2017-10-19T20:11:34Z	2017-10-20T04:47:14Z	ggp-5817571541807128400	n1-standard-2	us-central1-f	
operations/EMyEyKbzKxj7oIyM4L6WljQgxLmnm9UfKg9wcm9kdWN0aW9uUXVldWU	cromwell-f99feea2-594b-4a5f-bf09-cc007b293adb,fastq-bwa-mem-paired	2017-10-19T13:28:24Z	2017-10-19T20:06:11Z	ggp-3759478702069715067	n1-standard-8	us-central1-b	
operations/ENm_x5_zKxiwl571-uDdwQYgxLmnm9UfKg9wcm9kdWN0aW9uUXVldWU	cromwell-f99feea2-594b-4a5f-bf09-cc007b293adb,fastq-bwa-mem-paired	2017-10-19T09:23:34Z	2017-10-19T13:27:06Z	ggp-469349661055355824	n1-standard-8	us-central1-f	2017-10-19T06:26:24.112-07:00
operations/ENDQuJvzKxjA4_SGmdGs4gQgxLmnm9UfKg9wcm9kdWN0aW9uUXVldWU	cromwell-8ecf577d-3268-4d81-87a1-25a92e4c90cb,bam-sort-coord	2017-10-19T06:59:42Z	2017-10-19T07:45:50Z	ggp-343595775497679296	n1-standard-4	us-central1-f	
operations/EOPZv5rzKxjagfisj4fPgQMgxLmnm9UfKg9wcm9kdWN0aW9uUXVldWU	cromwell-f99feea2-594b-4a5f-bf09-cc007b293adb,fastq-bwa-mem-paired	2017-10-19T06:26:39Z	2017-10-19T09:13:31Z	ggp-217083422380523738	n1-standard-8	us-central1-c	2017-10-19T02:11:39.473-07:00
operations/ENGEg5fzKxjou6fBsoWs3rIBIMS5p5vVHyoPcHJvZHVjdGlvblF1ZXVl	cromwell-8ecf577d-3268-4d81-87a1-25a92e4c90cb,ubam-bwa-mem-paired	2017-10-19T04:25:16Z	2017-10-19T06:55:08Z	ggp-12879362733776690664	n1-standard-32	us-central1-b	
operations/EKP7so_zKxi2v8i305_h9iwgxLmnm9UfKg9wcm9kdWN0aW9uUXVldWU	cromwell-f99feea2-594b-4a5f-bf09-cc007b293adb,bam-to-fastq-paired	2017-10-18T23:58:44Z	2017-10-19T06:17:14Z	ggp-3237389930232684470	n1-standard-1	us-central1-f	
